DATE,HourlySeaLevelPressure
2009-01-01T00:53:00,30.17
2009-01-01T01:53:00,30.2
2009-01-01T02:53:00,30.22
2009-01-01T03:53:00,30.22
2009-01-01T04:53:00,30.24
2009-01-01T05:53:00,30.27
2009-01-01T06:53:00,30.28
2009-01-01T07:53:00,30.3
2009-01-01T08:53:00,30.29
2009-01-01T09:53:00,30.25
2009-01-01T10:53:00,30.23
2009-01-01T11:53:00,30.17
2009-01-01T12:53:00,30.11
2009-01-01T13:53:00,30.1
2009-01-01T14:53:00,30.09
2009-01-01T15:53:00,30.1
2009-01-01T16:53:00,30.1
2009-01-01T17:53:00,30.09
2009-01-01T18:53:00,30.11
2009-01-01T19:53:00,30.09
2009-01-01T20:53:00,30.08
2009-01-01T21:53:00,30.04
2009-01-01T22:53:00,29.99
2009-01-01T23:53:00,29.93
2009-01-01T23:59:00,
2009-01-02T00:36:00,
2009-01-02T00:53:00,29.88
2009-01-02T01:53:00,29.84
2009-01-02T02:26:00,
2009-01-02T02:42:00,
2009-01-02T02:51:00,
2009-01-02T02:53:00,29.79
2009-01-02T03:53:00,29.8
2009-01-02T04:07:00,
2009-01-02T04:53:00,29.84
2009-01-02T05:10:00,
2009-01-02T05:17:00,
2009-01-02T05:40:00,
2009-01-02T05:53:00,29.84
2009-01-02T06:19:00,
2009-01-02T06:53:00,29.8
2009-01-02T07:53:00,29.76
2009-01-02T08:53:00,29.75
2009-01-02T09:40:00,
2009-01-02T09:53:00,29.75
2009-01-02T09:59:00,
2009-01-02T10:18:00,
2009-01-02T10:43:00,
2009-01-02T10:53:00,29.77
2009-01-02T11:16:00,
2009-01-02T11:53:00,29.74
2009-01-02T12:28:00,
2009-01-02T12:34:00,
2009-01-02T12:38:00,
2009-01-02T12:43:00,
2009-01-02T12:49:00,
2009-01-02T12:51:00,
2009-01-02T12:53:00,29.72
2009-01-02T13:05:00,
2009-01-02T13:09:00,
2009-01-02T13:14:00,
2009-01-02T13:22:00,
2009-01-02T13:36:00,
2009-01-02T13:51:00,
2009-01-02T13:53:00,29.69
2009-01-02T13:59:00,
2009-01-02T14:07:00,
2009-01-02T14:12:00,
2009-01-02T14:20:00,
2009-01-02T14:45:00,
2009-01-02T14:51:00,
2009-01-02T14:53:00,29.71
2009-01-02T15:02:00,
2009-01-02T15:05:00,
2009-01-02T15:13:00,
2009-01-02T15:34:00,
2009-01-02T15:42:00,
2009-01-02T15:48:00,
2009-01-02T15:51:00,
2009-01-02T15:53:00,29.73
2009-01-02T16:15:00,
2009-01-02T16:25:00,
2009-01-02T16:53:00,29.75
2009-01-02T17:51:00,
2009-01-02T17:53:00,29.78
2009-01-02T18:01:00,
2009-01-02T18:53:00,29.8
2009-01-02T19:07:00,
2009-01-02T19:15:00,
2009-01-02T19:53:00,29.8
2009-01-02T20:53:00,29.82
2009-01-02T21:53:00,29.84
2009-01-02T22:39:00,
2009-01-02T22:51:00,
2009-01-02T22:53:00,29.88
2009-01-02T23:02:00,
2009-01-02T23:53:00,29.91
2009-01-02T23:59:00,
2009-01-03T00:53:00,29.9
2009-01-03T01:53:00,29.92
2009-01-03T02:49:00,
2009-01-03T02:53:00,29.95
2009-01-03T03:53:00,29.95
2009-01-03T04:11:00,
2009-01-03T04:53:00,29.96
2009-01-03T05:53:00,29.98
2009-01-03T06:53:00,30
2009-01-03T07:15:00,
2009-01-03T07:39:00,
2009-01-03T07:48:00,
2009-01-03T07:53:00,30.03
2009-01-03T08:21:00,
2009-01-03T08:38:00,
2009-01-03T08:53:00,30.06
2009-01-03T09:53:00,30.03
2009-01-03T10:53:00,30.06
2009-01-03T11:53:00,30.03
2009-01-03T12:53:00,30.01
2009-01-03T13:53:00,30.01
2009-01-03T14:53:00,30.03
2009-01-03T15:53:00,30.04
2009-01-03T16:10:00,
2009-01-03T16:19:00,
2009-01-03T16:53:00,30.08
2009-01-03T17:53:00,30.11
2009-01-03T18:53:00,30.14
2009-01-03T19:53:00,30.18
2009-01-03T20:53:00,30.17
2009-01-03T21:53:00,30.14
2009-01-03T22:53:00,30.14
2009-01-03T23:53:00,30.13
2009-01-03T23:59:00,
2009-01-04T00:53:00,30.11
2009-01-04T01:53:00,30.14
2009-01-04T02:53:00,30.16
2009-01-04T03:53:00,30.18
2009-01-04T04:53:00,30.19
2009-01-04T05:53:00,30.23
2009-01-04T06:53:00,30.26
2009-01-04T07:53:00,30.31
2009-01-04T08:53:00,30.29
2009-01-04T09:53:00,30.27
2009-01-04T10:53:00,30.23
2009-01-04T11:53:00,30.18
2009-01-04T12:53:00,30.17
2009-01-04T13:53:00,30.17
2009-01-04T14:53:00,30.19
2009-01-04T15:53:00,30.21
2009-01-04T16:53:00,30.23
2009-01-04T17:53:00,30.27
2009-01-04T18:53:00,30.31
2009-01-04T19:53:00,30.27
2009-01-04T20:53:00,30.27
2009-01-04T21:53:00,30.21
2009-01-04T22:53:00,30.14
2009-01-04T23:53:00,30.1
2009-01-04T23:59:00,
2009-01-05T00:53:00,30.09
2009-01-05T01:53:00,30.07
2009-01-05T02:53:00,30.04
2009-01-05T03:53:00,30.05
2009-01-05T04:53:00,30.05
2009-01-05T05:53:00,30.06
2009-01-05T06:53:00,30.08
2009-01-05T07:53:00,30.03
2009-01-05T08:53:00,30.08
2009-01-05T09:53:00,30.04
2009-01-05T10:53:00,30.04
2009-01-05T11:53:00,30.03
2009-01-05T12:53:00,30.03
2009-01-05T13:53:00,30.03
2009-01-05T14:53:00,30.01
2009-01-05T15:53:00,30.03
2009-01-05T16:53:00,30.06
2009-01-05T17:53:00,30.09
2009-01-05T18:53:00,30.11
2009-01-05T19:53:00,30.12
2009-01-05T20:53:00,30.13
2009-01-05T21:53:00,30.13
2009-01-05T22:53:00,30.13
2009-01-05T23:53:00,30.14
2009-01-05T23:59:00,
2009-01-06T00:53:00,30.14
2009-01-06T01:53:00,30.13
2009-01-06T02:53:00,30.13
2009-01-06T03:53:00,30.14
2009-01-06T04:53:00,30.14
2009-01-06T05:53:00,30.16
2009-01-06T06:53:00,30.22
2009-01-06T07:53:00,30.23
2009-01-06T08:53:00,30.26
2009-01-06T09:53:00,30.27
2009-01-06T10:53:00,30.28
2009-01-06T11:53:00,30.24
2009-01-06T12:53:00,30.21
2009-01-06T13:53:00,30.22
2009-01-06T14:53:00,30.21
2009-01-06T15:53:00,30.23
2009-01-06T16:53:00,30.25
2009-01-06T17:53:00,30.27
2009-01-06T18:53:00,30.28
2009-01-06T19:53:00,30.3
2009-01-06T20:53:00,30.3
2009-01-06T21:53:00,30.3
2009-01-06T22:53:00,30.32
2009-01-06T23:53:00,30.29
2009-01-06T23:59:00,
2009-01-07T00:53:00,30.29
2009-01-07T01:53:00,30.3
2009-01-07T02:53:00,30.29
2009-01-07T03:53:00,30.32
2009-01-07T04:53:00,30.35
2009-01-07T05:53:00,30.37
2009-01-07T06:53:00,30.35
2009-01-07T07:53:00,30.39
2009-01-07T08:53:00,30.39
2009-01-07T09:53:00,30.37
2009-01-07T10:53:00,30.32
2009-01-07T11:53:00,30.27
2009-01-07T12:53:00,30.28
2009-01-07T13:53:00,30.24
2009-01-07T14:53:00,30.23
2009-01-07T15:53:00,30.27
2009-01-07T16:53:00,30.29
2009-01-07T17:53:00,30.32
2009-01-07T18:53:00,30.32
2009-01-07T19:53:00,30.31
2009-01-07T20:53:00,30.3
2009-01-07T21:53:00,30.26
2009-01-07T22:53:00,30.22
2009-01-07T23:53:00,30.18
2009-01-07T23:59:00,
2009-01-08T00:53:00,30.16
2009-01-08T01:53:00,30.14
2009-01-08T02:53:00,30.11
2009-01-08T03:53:00,30.12
2009-01-08T04:53:00,30.11
2009-01-08T05:53:00,30.1
2009-01-08T06:53:00,30.09
2009-01-08T07:53:00,30.1
2009-01-08T08:53:00,30.08
2009-01-08T09:53:00,30.07
2009-01-08T10:53:00,30.06
2009-01-08T11:53:00,30.04
2009-01-08T12:53:00,30.02
2009-01-08T13:53:00,30.05
2009-01-08T14:53:00,30.05
2009-01-08T15:53:00,30.1
2009-01-08T16:53:00,30.11
2009-01-08T17:53:00,30.15
2009-01-08T18:53:00,30.19
2009-01-08T19:53:00,30.2
2009-01-08T20:53:00,30.22
2009-01-08T21:53:00,30.25
2009-01-08T22:53:00,30.25
