"","year","month","HourlySeaLevelPressure"
"1","2009","01",102155.62
"2","2009","01",102257.2
"3","2009","01",102324.92
"4","2009","01",102324.92
"5","2009","01",102392.64
"6","2009","01",102494.22
"7","2009","01",102528.08
"8","2009","01",102595.8
"9","2009","01",102561.94
"10","2009","01",102426.5
"11","2009","01",102358.78
"12","2009","01",102155.62
"13","2009","01",101952.46
"14","2009","01",101918.6
"15","2009","01",101884.74
"16","2009","01",101918.6
"17","2009","01",101918.6
"18","2009","01",101884.74
"19","2009","01",101952.46
"20","2009","01",101884.74
"21","2009","01",101850.88
"22","2009","01",101715.44
"23","2009","01",101546.14
"24","2009","01",101342.98
"25","2009","01",101580
"26","2009","01",101580
"27","2009","01",101173.68
"28","2009","01",101038.24
"29","2009","01",101580
"30","2009","01",101580
"31","2009","01",101580
"32","2009","01",100868.94
"33","2009","01",100902.8
"34","2009","01",101580
"35","2009","01",101038.24
"36","2009","01",101580
"37","2009","01",101580
"38","2009","01",101580
"39","2009","01",101038.24
"40","2009","01",101580
"41","2009","01",100902.8
"42","2009","01",100767.36
"43","2009","01",100733.5
"44","2009","01",101580
"45","2009","01",100733.5
"46","2009","01",101580
"47","2009","01",101580
"48","2009","01",101580
"49","2009","01",100801.22
"50","2009","01",101580
"51","2009","01",100699.64
"52","2009","01",101580
"53","2009","01",101580
"54","2009","01",101580
"55","2009","01",101580
"56","2009","01",101580
"57","2009","01",101580
"58","2009","01",100631.92
"59","2009","01",101580
"60","2009","01",101580
"61","2009","01",101580
"62","2009","01",101580
"63","2009","01",101580
"64","2009","01",101580
"65","2009","01",100530.34
"66","2009","01",101580
"67","2009","01",101580
"68","2009","01",101580
"69","2009","01",101580
"70","2009","01",101580
"71","2009","01",101580
"72","2009","01",100598.06
"73","2009","01",101580
"74","2009","01",101580
"75","2009","01",101580
"76","2009","01",101580
"77","2009","01",101580
"78","2009","01",101580
"79","2009","01",101580
"80","2009","01",100665.78
"81","2009","01",101580
"82","2009","01",101580
"83","2009","01",100733.5
"84","2009","01",101580
"85","2009","01",100835.08
"86","2009","01",101580
"87","2009","01",100902.8
"88","2009","01",101580
"89","2009","01",101580
"90","2009","01",100902.8
"91","2009","01",100970.52
"92","2009","01",101038.24
"93","2009","01",101580
"94","2009","01",101580
"95","2009","01",101173.68
"96","2009","01",101580
"97","2009","01",101275.26
"98","2009","01",101580
"99","2009","01",101241.4
"100","2009","01",101309.12
"101","2009","01",101580
"102","2009","01",101410.7
"103","2009","01",101410.7
"104","2009","01",101580
"105","2009","01",101444.56
"106","2009","01",101512.28
"107","2009","01",101580
"108","2009","01",101580
"109","2009","01",101580
"110","2009","01",101580
"111","2009","01",101681.58
"112","2009","01",101580
"113","2009","01",101580
"114","2009","01",101783.16
"115","2009","01",101681.58
"116","2009","01",101783.16
"117","2009","01",101681.58
"118","2009","01",101613.86
"119","2009","01",101613.86
"120","2009","01",101681.58
"121","2009","01",101715.44
"122","2009","01",101580
"123","2009","01",101580
"124","2009","01",101850.88
"125","2009","01",101952.46
"126","2009","01",102054.04
"127","2009","01",102189.48
"128","2009","01",102155.62
"129","2009","01",102054.04
"130","2009","01",102054.04
"131","2009","01",102020.18
"132","2009","01",101580
"133","2009","01",101952.46
"134","2009","01",102054.04
"135","2009","01",102121.76
"136","2009","01",102189.48
"137","2009","01",102223.34
"138","2009","01",102358.78
"139","2009","01",102460.36
"140","2009","01",102629.66
"141","2009","01",102561.94
"142","2009","01",102494.22
"143","2009","01",102358.78
"144","2009","01",102189.48
"145","2009","01",102155.62
"146","2009","01",102155.62
"147","2009","01",102223.34
"148","2009","01",102291.06
"149","2009","01",102358.78
"150","2009","01",102494.22
"151","2009","01",102629.66
"152","2009","01",102494.22
"153","2009","01",102494.22
"154","2009","01",102291.06
"155","2009","01",102054.04
"156","2009","01",101918.6
"157","2009","01",101580
"158","2009","01",101884.74
