"","NAME","DATE","AWND","PGTM","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","Power_output"
"18231","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-01",3.8,222,57,29,30,140,12.1,17,83.73686688
"18232","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-02",3.58,1335,58,28,20,30,14.1,17,70.01885382048
"18233","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-03",2.46,1511,53,28,30,40,12.1,19,22.71805981344
"18234","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-04",2.46,1520,57,28,200,190,12.1,17,22.71805981344
"18235","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-05",7.83,2343,60,31,190,170,21,28,732.57349830948
"18236","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-06",23.04,1137,52,36,180,190,42.9,55.9,18664.3702716826
"18237","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-07",12.53,1529,39,33,200,180,25.1,40,3002.05835755308
"18238","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-08",7.38,239,35,17,190,200,19.9,25.9,613.38761496288
"18239","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-09",6.71,2255,42,12,190,170,19.9,23,461.03455545444
"18240","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-10",6.49,1400,48,29,190,180,18.1,23.9,417.15745355196
"18241","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-11",8.28,802,46,28,190,210,23,31.1,866.27728689408
"18242","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-12",15.43,1445,52,36,200,180,36,53.9,5606.13685668228
"18243","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-13",8.95,1614,37,26,200,200,21.9,34,1094.044590945
"18244","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-14",4.03,1247,43,15,40,30,12.1,18.1,99.88058003508
"18245","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-15",3.58,1330,51,22,30,30,12.1,15,70.01885382048
"18246","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-16",9.62,2137,57,29,180,180,32,44.1,1358.59850841312
"18247","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-17",9.84,9,49,38,180,170,29.1,42.9,1453.95582806016
"18248","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-18",3.13,1621,49,29,160,160,14.1,19.9,46.79494379388
"18249","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-19",7.61,1442,51,25,190,180,21.9,35.1,672.54273804924
"18250","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-20",6.04,916,50,30,190,190,19.9,23.9,336.26118041856
"18251","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-21",3.8,1047,62,28,30,30,12.1,16.1,83.73686688
"18252","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-22",8.72,1908,63,29,180,190,28,40.9,1011.84822024192
"18253","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-23",12.3,203,55,40,190,180,21,34,2839.75747668
"18254","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-24",10.74,143,43,33,190,240,21,29.1,1890.50905315296
"18255","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-25",4.03,1143,55,29,200,30,13,16.1,99.88058003508
"18256","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-26",10.51,1047,57,38,180,190,21.9,32,1771.63424085204
"18257","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-27",5.37,1309,54,32,40,170,14.1,19,236.31363164412
"18258","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-28",6.71,1726,47,28,20,10,21,30,461.03455545444
"18259","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-29",2.91,26,57,28,110,30,15,23.9,37.60493863284
"18260","SOUTH LAKE TAHOE AIRPORT, CA US","2017-04-30",2.46,1246,65,28,200,210,14.1,21,22.71805981344
"18261","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-01",3.58,1454,66,31,30,30,13,17,70.01885382048
"18262","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-02",3.8,1257,68,34,30,30,13,19,83.73686688
"18263","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-03",2.91,1345,71,35,40,30,12.1,14.1,37.60493863284
"18264","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-04",6.93,1433,76,38,190,220,19.9,28,507.88527448428
"18265","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-05",10.96,1302,66,50,190,200,23,33.1,2009.08161644544
"18266","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-06",3.8,4,50,33,190,190,17,21.9,83.73686688
"18267","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-07",2.91,1208,53,33,30,40,16.1,21.9,37.60493863284
"18268","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-08",2.91,1253,61,32,30,20,13,17,37.60493863284
"18269","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-09",4.25,1025,67,31,30,20,13,17,117.147414375
"18270","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-10",3.8,1255,70,33,200,210,13,21,83.73686688
"18271","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-11",9.17,2344,65,35,190,180,30,42.9,1176.72213884652
"18272","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-12",10.96,37,48,28,190,180,30,47,2009.08161644544
"18273","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-13",2.68,1523,51,26,190,210,15,21.9,29.37448758528
"18274","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-14",2.46,1701,50,28,190,190,19.9,23,22.71805981344
"18275","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-15",2.91,1140,53,30,30,50,15,19.9,37.60493863284
"18276","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-16",11.86,1222,47,32,180,190,23,31.1,2545.77480717024
"18277","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-17",4.92,1230,51,31,30,30,16.1,23.9,181.74447850752
"18278","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-18",4.92,1339,60,28,30,20,16.1,21.9,181.74447850752
"18279","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-19",4.25,1124,66,31,30,30,13,17,117.147414375
"18280","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-20",4.03,1611,71,34,200,190,13,19.9,99.88058003508
"18281","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-21",4.25,1455,70,35,30,30,13,17,117.147414375
"18282","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-22",4.92,1339,75,37,30,20,14.1,18.1,181.74447850752
"18283","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-23",4.7,1130,78,40,30,30,12.1,15,158.43805092
"18284","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-24",8.72,1446,72,40,190,190,25.1,36,1011.84822024192
"18285","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-25",5.37,1018,67,35,190,190,19.9,27.1,236.31363164412
"18286","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-26",4.92,1326,66,31,30,30,15,18.1,181.74447850752
"18287","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-27",5.37,909,69,35,60,60,14.1,19.9,236.31363164412
"18288","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-28",3.8,1615,74,33,30,30,15,19,83.73686688
"18289","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-29",4.03,1753,74,38,80,70,23,33.1,99.88058003508
"18290","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-30",5.14,1418,74,37,190,190,17,25.1,207.23126321376
"18291","SOUTH LAKE TAHOE AIRPORT, CA US","2017-05-31",6.26,1304,61,44,190,190,21,25.9,374.35955035104
"18292","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-01",3.58,1455,69,36,40,30,14.1,19.9,70.01885382048
"18293","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-02",4.7,1652,75,36,200,190,14.1,19.9,158.43805092
"18294","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-03",5.82,1328,75,41,190,170,18.1,25.9,300.83950906272
"18295","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-04",6.49,1106,71,41,190,190,21.9,28,417.15745355196
"18296","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-05",4.47,1453,72,34,30,30,13,16.1,136.29768728292
"18297","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-06",3.8,1500,77,34,190,190,16.1,21.9,83.73686688
"18298","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-07",7.16,1451,74,34,190,190,19.9,33.1,560.15083056384
"18299","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-08",13.2,1003,58,48,190,190,25.1,38.9,3509.84316672
"18300","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-09",13.65,1527,57,47,190,180,28,47,3881.180774835
"18301","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-10",13.87,1426,58,43,190,180,25.9,40,4071.88309288212
"18302","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-11",10.51,1126,50,31,190,190,23.9,36,1771.63424085204
"18303","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-12",7.83,1429,50,31,180,170,21,27.1,732.57349830948
"18304","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-13",4.03,1155,66,28,20,30,12.1,16.1,99.88058003508
"18305","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-14",4.47,1527,73,35,180,210,14.1,19.9,136.29768728292
"18306","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-15",3.36,1404,76,36,190,170,15,21,57.88736077824
"18307","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-16",4.47,1625,84,40,190,200,15,21.9,136.29768728292
"18308","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-17",4.03,1248,85,46,40,40,14.1,18.1,99.88058003508
"18309","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-18",2.91,938,83,49,60,40,13,18.1,37.60493863284
"18310","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-19",4.03,1551,90,49,160,160,18.1,25.9,99.88058003508
"18311","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-20",3.8,1529,87,46,40,210,14.1,19.9,83.73686688
"18312","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-21",4.7,1709,86,49,170,180,23.9,35.1,158.43805092
"18313","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-22",3.36,932,84,48,30,30,10.1,15,57.88736077824
"18314","SOUTH LAKE TAHOE AIRPORT, CA US","2017-06-23",4.47,1039,86,46,30,20,13,16.1,136.29768728292
