"Date,Value,Anomaly"
"200401,43.5,1.2"
"200402,44.2,-1.1"
"200403,56.9,8.1"
"200404,57.3,3.3"
"200405,63.2,2.5"
"200406,70.4,2.1"
"200407,76.1,1.4"
"200408,74.8,1.1"
"200409,69.4,0.9"
"200410,58.2,-1.3"
"200411,47.7,-1.8"
"200412,44.6,1.5"
"200501,44.1,1.8"
"200502,47.1,1.8"
"200503,51.1,2.3"
"200504,53.0,-1.0"
"200505,62.2,1.5"
"200506,66.2,-2.1"
"200507,78.4,3.7"
"200508,75.8,2.1"
"200509,66.9,-1.6"
"200510,59.9,0.4"
"200511,52.4,2.9"
"200512,46.1,3.0"
"200601,44.6,2.3"
"200602,47.7,2.4"
"200603,44.0,-4.8"
"200604,53.0,-1.0"
"200605,64.6,3.9"
"200606,73.2,4.9"
"200607,79.3,4.6"
"200608,73.8,0.1"
"200609,69.5,1.0"
"200610,58.8,-0.7"
"200611,51.3,1.8"
"200612,43.9,0.8"
"200701,41.5,-0.8"
"200702,46.7,1.4"
"200703,54.4,5.6"
"200704,56.3,2.3"
"200705,64.1,3.4"
"200706,70.5,2.2"
"200707,76.9,2.2"
"200708,76.1,2.4"
"200709,67.5,-1.0"
"200710,58.6,-0.9"
"200711,53.3,3.8"
"200712,41.2,-1.9"
"200801,41.1,-1.2"
"200802,45.8,0.5"
"200803,50.3,1.5"
"200804,54.4,0.4"
"200805,61.7,1.0"
"200806,71.1,2.8"
"200807,76.5,1.8"
"200808,76.6,2.9"
"200809,71.8,3.3"
"200810,61.8,2.3"
"200811,53.9,4.4"
"200812,42.0,-1.1"
"200901,46.9,4.6"
"200902,45.2,-0.1"
"200903,49.2,0.4"
"200904,54.3,0.3"
"200905,66.7,6.0"
"200906,67.5,-0.8"
"200907,77.6,2.9"
"200908,74.8,1.1"
"200909,73.0,4.5"
"200910,58.1,-1.4"
"200911,50.9,1.4"
"200912,41.8,-1.3"
"201001,45.2,2.9"
"201002,46.8,1.5"
"201003,49.0,0.2"
"201004,50.9,-3.1"
"201005,56.9,-3.8"
"201006,69.1,0.8"
"201007,76.1,1.4"
"201008,73.4,-0.3"
"201009,70.4,1.9"
"201010,60.5,1.0"
"201011,48.6,-0.9"
"201012,45.8,2.7"
"201101,45.2,2.9"
"201102,43.4,-1.9"
"201103,48.7,-0.1"
"201104,53.4,-0.6"
"201105,57.6,-3.1"
"201106,66.9,-1.4"
"201107,74.2,-0.5"
"201108,75.2,1.5"
"201109,72.2,3.7"
"201110,61.4,1.9"
"201111,48.2,-1.3"
"201112,42.8,-0.3"
"201201,46.5,4.2"
"201202,46.5,1.2"
"201203,48.8,0.0"
"201204,55.8,1.8"
"201205,63.9,3.2"
"201206,69.3,1.0"
"201207,74.7,0.0"
"201208,77.8,4.1"
"201209,73.1,4.6"
"201210,62.2,2.7"
"201211,52.5,3.0"
"201212,43.0,-0.1"
"201301,42.1,-0.2"
"201302,45.3,0.0"
"201303,53.8,5.0"
"201304,58.2,4.2"
"201305,63.8,3.1"
"201306,72.4,4.1"
"201307,78.0,3.3"
"201308,74.4,0.7"
"201309,69.3,0.8"
"201310,58.5,-1.0"
"201311,51.9,2.4"
"201312,44.1,1.0"
"201401,50.1,7.8"
"201402,49.8,4.5"
"201403,53.5,4.7"
"201404,57.7,3.7"
"201405,64.6,3.9"
"201406,71.9,3.6"
"201407,78.4,3.7"
"201408,74.9,1.2"
"201409,72.2,3.7"
"201410,64.4,4.9"
"201411,53.1,3.6"
"201412,46.8,3.7"
"201501,48.6,6.3"
"201502,53.2,7.9"
"201503,56.9,8.1"
"201504,56.7,2.7"
"201505,60.8,0.1"
"201506,74.4,6.1"
"201507,75.0,0.3"
"201508,76.5,2.8"
"201509,72.1,3.6"
"201510,65.0,5.5"
"201511,47.6,-1.9"
"201512,42.3,-0.8"
"201601,44.5,2.2"
"201602,51.8,6.5"
"201603,52.5,3.7"
"201604,57.9,3.9"
"201605,62.2,1.5"
"201606,73.5,5.2"
"201607,76.8,2.1"
"201608,76.2,2.5"
"201609,69.5,1.0"
"201610,60.5,1.0"
"201611,52.8,3.3"
"201612,43.4,0.3"
"201701,42.2,-0.1"
"201702,47.3,2.0"
"201703,53.4,4.6"
"201704,55.6,1.6"
"201705,63.4,2.7"
"201706,72.8,4.5"
"201707,78.8,4.1"
"201708,77.9,4.2"
"201709,69.8,1.3"
"201710,62.0,2.5"
"201711,53.4,3.9"
"201712,47.5,4.4"
"201801,48.8,6.5"
"201802,46.6,1.3"
"201803,49.0,0.2"
"201804,57.2,3.2"
"201805,63.0,2.3"
"201806,71.5,3.2"
"201807,79.6,4.9"
"201808,76.4,2.7"
"201809,71.2,2.7"
"201810,61.0,1.5"
"201811,52.7,3.2"
"201812,44.8,1.7"
"201901,46.0,3.7"
